Postcode,Lat,Lon,Average Price
BD164EE,53.853266,-1.831333,142500.0
BD128HX,53.741312,-1.771439,75000.0
BD228EZ,53.834184,-1.951510,165000.0
BD24JA,53.812017,-1.735048,130000.0
BD227AL,53.847872,-1.930974,65000.0
BD161SJ,53.828574,-1.823576,105500.0
BD89QP,53.804342,-1.790198,57500.0
BD161SR,53.828645,-1.822831,240000.0
BD183EZ,53.835524,-1.791394,233000.0
BD227AX,53.848318,-1.924909,77000.0
BD234EN,53.981291,-2.164909,1150000.0
BD38DT,53.795381,-1.719273,43000.0
BD161EZ,53.844149,-1.835898,131000.0
BD146RG,53.782608,-1.823056,102500.0
BD234EA,53.992121,-2.152079,222500.0
BD213BS,53.872888,-1.907953,40000.0
BD193UY,53.729117,-1.725185,205000.0
BD161EA,53.842461,-1.830646,192000.0
BD234EZ,54.005889,-2.226432,145000.0
BD209DF,53.930975,-1.996540,375000.0
BD164LZ,53.852207,-1.832705,122500.0
BD236PE,53.977316,-1.997224,212000.0
BD21LE,53.817095,-1.751465,119500.0
BD234LZ,54.006669,-2.222775,242000.0
BD112JY,53.750917,-1.689861,119995.0
BD21LJ,53.824823,-1.738324,130000.0
BD157AU,53.806204,-1.818751,73000.0
BD162TP,,,170000.0
BD157AH,53.804273,-1.813369,175000.0
BD235HS,54.103048,-2.030004,150000.0
BD196NG,53.723750,-1.749165,465000.0
BD61UY,53.765226,-1.774722,131000.0
BD157AE,53.804936,-1.812486,230000.0
BD108QH,53.827149,-1.737155,125000.0
BD109JJ,53.831420,-1.730003,110000.0
BD132JA,53.766393,-1.855968,100000.0
BD206HW,53.871638,-1.919925,117000.0
BD226AT,53.860764,-1.921496,69000.0
BD108QF,53.833925,-1.740957,170000.0
BD108QS,53.829218,-1.738039,205000.0
BD200DP,53.912383,-1.940992,111000.0
BD196PD,53.729115,-1.748996,115000.0
BD23DL,53.811485,-1.729933,73000.0
BD206RY,53.899029,-1.944846,385000.0
BD176TJ,53.855071,-1.757032,260000.0
BD89EP,53.799961,-1.782538,65000.0
BD214RZ,53.860053,-1.896243,109995.0
BD206TE,53.896095,-1.956369,167000.0
BD207EU,53.895077,-1.989802,117500.0
BD161PU,53.828580,-1.827633,83500.0
BD50PL,53.780878,-1.767688,70000.0
BD227DP,53.852382,-1.927684,31250.0
BD227DQ,53.851363,-1.922471,94000.0
BD207EB,53.903364,-1.988110,122000.0
BD135HR,53.826362,-1.902099,124000.0
BD59PA,53.775140,-1.765565,80000.0
BD177EL,53.837487,-1.778514,294000.0
BD214DL,53.872406,-1.890935,76000.0
BD161PA,53.834405,-1.822579,263000.0
BD133PS,53.791123,-1.859041,140000.0
BD181DY,53.837731,-1.756038,115000.0
BD109QN,53.834509,-1.720699,115000.0
BD161ND,53.835855,-1.830551,315000.0
BD37LP,53.805084,-1.721395,87000.0
BD109QJ,53.835012,-1.724661,107000.0
BD205QD,53.880214,-1.878989,152500.0
BD233TJ,53.932165,-2.143941,125000.0
BD108HY,53.826215,-1.725585,69000.0
BD229SR,53.808959,-1.938676,280000.0
BD194NA,53.727917,-1.686544,100000.0
BD233TB,53.933121,-2.140700,362500.0
BD175NA,53.853146,-1.769873,117000.0
BD109QX,53.833543,-1.723000,64950.0
BD133LA,53.790493,-1.851423,60000.0
BD80DT,53.796239,-1.808653,66600.0
BD213LS,53.873854,-1.902749,50000.0
BD159AX,53.809146,-1.833362,153000.0
BD100HX,53.820263,-1.713092,53000.0
BD213LE,53.873506,-1.904909,41000.0
BD22AT,53.824721,-1.736776,107000.0
BD177NT,53.842193,-1.776665,99500.0
BD74BE,53.777740,-1.801878,101500.0
BD21QE,53.823321,-1.746202,115000.0
BD163ER,53.856357,-1.812636,227000.0
BD159BD,53.809275,-1.835503,137000.0
BD200JR,53.915983,-1.932796,124500.0
BD157JJ,53.801337,-1.827973,100000.0
BD127HL,53.745280,-1.746823,140000.0
BD183BY,53.829670,-1.779786,131000.0
BD229EJ,53.834780,-1.937271,45000.0
BD12DX,53.793808,-1.760755,72500.0
BD196UA,53.731635,-1.725745,85000.0
BD128PQ,53.746317,-1.766484,70000.0
BD235LL,54.069277,-1.994285,220250.0
BD163JP,53.870897,-1.843125,75000.0
BD132HR,53.767064,-1.852841,42000.0
BD150DU,53.826407,-1.865227,82000.0
BD176QN,53.847001,-1.762109,135000.0
BD176QH,53.847284,-1.764342,169250.0
BD164QA,53.846923,-1.826813,62500.0
